Pergunta,Categoria prevista,Resposta
Quais são os direitos do consumidor ao comprar um produto com defeito?,rag_required,"(Resposta via RAG) Confiança: 100%
O consumidor pode reclamar de falhas na prestação do serviço ou qualidade do produto a qualquer momento. É vedada a prática de condicionar a venda de um produto à compra de outro. O atraso na entrega permite ao consumidor rescindir o contrato ou exigir cumprimento forçado.

Fontes: Direito de Reclamar; Venda Casada; Entrega em Atraso
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
O que diz o Código de Defesa do Consumidor sobre propaganda enganosa?,rag_required,"(Resposta via RAG) Confiança: 100%
O consumidor tem direito de ser informado de forma clara e adequada sobre produtos e serviços. O consumidor pode reclamar de falhas na prestação do serviço ou qualidade do produto a qualquer momento. Contratos de consumo não podem conter cláusulas que coloquem o consumidor em desvantagem excessiva.

Fontes: Direito à Informação; Direito de Reclamar; Proteção contra Cláusulas Abusivas
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
Existe prazo de garantia legal para produtos usados?,rag_required,"(Resposta via RAG) Confiança: 100%
Produtos duráveis possuem garantia legal mínima de 90 dias conforme o CDC. O consumidor tem direito de ser informado de forma clara e adequada sobre produtos e serviços. Produtos e serviços não devem apresentar riscos à saúde ou segurança do consumidor.

Fontes: Garantia Legal; Direito à Informação; Direito à Segurança
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
"Em compras online, o consumidor pode devolver o produto sem justificar?",rag_required,"(Resposta via RAG) Confiança: 100%
O consumidor pode desistir de compras online em até 7 dias, com reembolso integral. O consumidor pode reclamar de falhas na prestação do serviço ou qualidade do produto a qualquer momento. Contratos de consumo não podem conter cláusulas que coloquem o consumidor em desvantagem excessiva.

Fontes: Direito de Arrependimento; Direito de Reclamar; Proteção contra Cláusulas Abusivas
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
Quem é responsável por danos causados por um produto defeituoso?,rag_required,"(Resposta direta) Confiança: 0%
Desculpe, não consegui calcular essa expressão.

Fontes: Nenhuma fonte relevante
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
O que caracteriza venda casada segundo o CDC?,rag_required,"(Resposta via RAG) Confiança: 85%
É vedada a prática de condicionar a venda de um produto à compra de outro. Produtos duráveis possuem garantia legal mínima de 90 dias conforme o CDC. Contratos de consumo não podem conter cláusulas que coloquem o consumidor em desvantagem excessiva.

Fontes: Venda Casada; Garantia Legal; Proteção contra Cláusulas Abusivas
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
Qual é o prazo para reclamar de vício oculto em um bem durável?,rag_required,"(Resposta direta) Confiança: 0%
Desculpe, essa pergunta está fora do escopo do meu conhecimento jurídico.

Fontes: Nenhuma fonte relevante
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
Quais são os direitos do empregado em caso de demissão sem justa causa?,rag_required,"(Resposta via RAG) Confiança: 92%
Trabalhadores dispensados sem justa causa podem receber parcelas de seguro-desemprego. O aviso prévio proporcional ao tempo de serviço deve ser concedido na rescisão sem justa causa. Após 12 meses de trabalho, o empregado tem direito a 30 dias de férias remuneradas.

Fontes: Seguro-Desemprego; Aviso Prévio; Férias Anuais
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
Como funciona o cálculo de horas extras na CLT?,rag_required,"(Resposta via RAG) Confiança: 89%
Empregados que trabalham mais de 6 horas têm direito a intervalo mínimo de 1 hora. O aviso prévio proporcional ao tempo de serviço deve ser concedido na rescisão sem justa causa. O Fundo de Garantia do Tempo de Serviço é depositado mensalmente pelo empregador.

Fontes: Intervalo Intrajornada; Aviso Prévio; FGTS
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
Qual o tempo de licença maternidade previsto em lei?,rag_required,"(Resposta direta) Confiança: 0%
Desculpe, essa pergunta está fora do escopo do meu conhecimento jurídico.

Fontes: Nenhuma fonte relevante
⚠️ Esta resposta é informativa e não substitui consulta profissional.
Limitações: base de conhecimento sintética; respostas podem ser incompletas."
